,id,churn_probability
336,70335,1
337,70336,1
338,70337,0
339,70338,1
340,70339,1
341,70340,0
342,70341,1
343,70342,1
344,70343,0
345,70344,1
346,70345,1
347,70346,1
348,70347,1
349,70348,0
350,70349,0
351,70350,1
352,70351,1
353,70352,0
354,70353,1
355,70354,0
356,70355,0
357,70356,0
358,70357,0
359,70358,1
360,70359,0
361,70360,1
362,70361,0
363,70362,1
364,70363,0
365,70364,0
366,70365,0
367,70366,0
368,70367,1
369,70368,1
370,70369,0
371,70370,0
372,70371,1
373,70372,1
374,70373,1
375,70374,1
376,70375,0
377,70376,1
378,70377,1
379,70378,0
380,70379,0
381,70380,0
382,70381,0
383,70382,0
384,70383,1
385,70384,0
386,70385,1
387,70386,0
388,70387,0
389,70388,0
390,70389,0
391,70390,0
392,70391,1
393,70392,0
394,70393,1
395,70394,1
396,70395,0
397,70396,0
398,70397,1
399,70398,0
400,70399,0
401,70400,0
402,70401,0
403,70402,0
404,70403,1
405,70404,1
406,70405,0
407,70406,0
408,70407,1
409,70408,1
410,70409,0
411,70410,0
412,70411,1
413,70412,0
414,70413,1
415,70414,0
416,70415,0
417,70416,1
418,70417,0
419,70418,0
420,70419,0
421,70420,0
422,70421,0
423,70422,1
424,70423,0
425,70424,0
426,70425,0
427,70426,0
428,70427,0
429,70428,0
430,70429,1
431,70430,0
432,70431,0
433,70432,1
434,70433,0
435,70434,1
436,70435,0
437,70436,0
438,70437,1
439,70438,0
440,70439,0
441,70440,1
442,70441,1
443,70442,0
444,70443,1
445,70444,0
446,70445,0
447,70446,0
448,70447,1
449,70448,1
450,70449,0
451,70450,0
452,70451,1
453,70452,1
454,70453,0
455,70454,1
456,70455,0
457,70456,1
458,70457,1
459,70458,0
460,70459,1
461,70460,1
462,70461,0
463,70462,0
464,70463,1
465,70464,0
466,70465,0
467,70466,0
468,70467,0
469,70468,0
470,70469,1
471,70470,0
472,70471,0
473,70472,0
474,70473,1
475,70474,0
476,70475,0
477,70476,1
478,70477,0
479,70478,1
480,70479,0
481,70480,1
482,70481,0
483,70482,0
484,70483,0
485,70484,1
486,70485,0
487,70486,0
488,70487,1
489,70488,0
490,70489,0
491,70490,1
492,70491,0
493,70492,0
494,70493,1
495,70494,0
496,70495,0
497,70496,0
498,70497,1
499,70498,1
500,70499,1
501,70500,1
502,70501,1
503,70502,0
504,70503,0
505,70504,1
506,70505,1
507,70506,0
508,70507,0
509,70508,1
510,70509,1
511,70510,1
512,70511,1
513,70512,0
514,70513,1
515,70514,0
516,70515,1
517,70516,1
518,70517,1
519,70518,0
520,70519,0
521,70520,0
522,70521,0
523,70522,1
524,70523,0
525,70524,0
526,70525,1
527,70526,0
528,70527,0
529,70528,0
530,70529,0
531,70530,0
532,70531,0
533,70532,0
534,70533,0
535,70534,1
536,70535,1
537,70536,1
538,70537,1
539,70538,1
540,70539,0
541,70540,1
542,70541,0
543,70542,0
544,70543,1
545,70544,1
546,70545,0
547,70546,0
548,70547,0
549,70548,0
550,70549,0
551,70550,1
552,70551,1
553,70552,1
554,70553,0
555,70554,0
556,70555,1
557,70556,1
558,70557,0
559,70558,1
560,70559,0
561,70560,1
562,70561,1
563,70562,0
564,70563,0
565,70564,0
566,70565,0
567,70566,0
568,70567,1
569,70568,0
570,70569,0
571,70570,0
572,70571,0
573,70572,1
574,70573,0
575,70574,0
576,70575,0
577,70576,0
578,70577,1
579,70578,0
580,70579,0
581,70580,1
582,70581,0
583,70582,1
584,70583,1
585,70584,0
586,70585,0
587,70586,1
588,70587,0
589,70588,0
590,70589,0
591,70590,0
592,70591,0
593,70592,1
594,70593,0
595,70594,1
596,70595,1
597,70596,1
598,70597,0
599,70598,0
600,70599,0
601,70600,1
602,70601,1
603,70602,1
604,70603,1
605,70604,0
606,70605,0
607,70606,1
608,70607,1
609,70608,1
610,70609,0
611,70610,1
612,70611,0
613,70612,1
614,70613,1
615,70614,0
616,70615,0
617,70616,0
618,70617,0
619,70618,0
620,70619,1
621,70620,1
622,70621,1
623,70622,1
624,70623,1
625,70624,0
626,70625,1
627,70626,1
628,70627,1
629,70628,0
630,70629,0
631,70630,0
632,70631,0
633,70632,1
634,70633,1
635,70634,0
636,70635,0
637,70636,1
638,70637,0
639,70638,0
640,70639,0
641,70640,1
642,70641,1
643,70642,0
644,70643,1
645,70644,0
646,70645,1
647,70646,0
648,70647,1
649,70648,0
650,70649,1
651,70650,1
652,70651,0
653,70652,0
654,70653,0
655,70654,0
656,70655,1
657,70656,1
658,70657,1
659,70658,0
660,70659,1
661,70660,1
662,70661,0
663,70662,1
664,70663,0
665,70664,0
666,70665,0
667,70666,0
668,70667,0
669,70668,0
670,70669,1
671,70670,0
672,70671,0
673,70672,1
674,70673,1
675,70674,0
676,70675,0
677,70676,1
678,70677,1
679,70678,0
680,70679,1
681,70680,1
682,70681,0
683,70682,0
684,70683,1
685,70684,0
686,70685,1
687,70686,1
688,70687,0
689,70688,0
690,70689,0
691,70690,1
692,70691,0
693,70692,1
694,70693,1
695,70694,0
696,70695,0
697,70696,1
698,70697,1
699,70698,1
700,70699,0
701,70700,0
702,70701,0
703,70702,1
704,70703,0
705,70704,0
706,70705,0
707,70706,0
708,70707,1
709,70708,1
710,70709,1
711,70710,0
712,70711,0
713,70712,1
714,70713,0
715,70714,0
716,70715,1
717,70716,1
718,70717,1
719,70718,0
720,70719,0
721,70720,1
722,70721,0
723,70722,0
724,70723,0
725,70724,1
726,70725,1
727,70726,0
728,70727,0
729,70728,1
730,70729,0
731,70730,1
732,70731,0
733,70732,0
734,70733,1
735,70734,0
736,70735,1
737,70736,1
738,70737,0
739,70738,0
740,70739,0
741,70740,1
742,70741,0
743,70742,1
744,70743,0
745,70744,0
746,70745,1
747,70746,1
748,70747,0
749,70748,0
750,70749,1
751,70750,0
752,70751,0
753,70752,0
754,70753,0
755,70754,0
756,70755,1
757,70756,1
758,70757,0
759,70758,1
760,70759,0
761,70760,1
762,70761,0
763,70762,0
764,70763,0
765,70764,1
766,70765,0
767,70766,0
768,70767,0
769,70768,1
770,70769,0
771,70770,1
772,70771,0
773,70772,0
774,70773,0
775,70774,0
776,70775,0
777,70776,0
778,70777,1
779,70778,0
780,70779,0
781,70780,0
782,70781,1
783,70782,0
784,70783,1
785,70784,1
786,70785,1
787,70786,0
788,70787,0
789,70788,0
790,70789,0
791,70790,0
792,70791,1
793,70792,0
794,70793,1
795,70794,0
796,70795,1
797,70796,0
798,70797,1
799,70798,1
800,70799,1
801,70800,0
802,70801,0
803,70802,0
804,70803,1
805,70804,1
806,70805,0
807,70806,1
808,70807,0
809,70808,0
810,70809,0
811,70810,1
812,70811,0
813,70812,1
814,70813,0
815,70814,0
816,70815,1
817,70816,1
818,70817,0
819,70818,1
820,70819,1
821,70820,1
822,70821,1
823,70822,0
824,70823,0
825,70824,1
826,70825,1
827,70826,0
828,70827,1
829,70828,1
830,70829,0
831,70830,1
832,70831,1
833,70832,1
834,70833,0
835,70834,0
836,70835,0
837,70836,1
838,70837,1
839,70838,1
840,70839,1
841,70840,0
842,70841,0
843,70842,0
844,70843,0
845,70844,1
846,70845,0
847,70846,1
848,70847,0
849,70848,0
850,70849,0
851,70850,0
852,70851,0
853,70852,0
854,70853,0
855,70854,0
856,70855,1
857,70856,0
858,70857,1
859,70858,0
860,70859,0
861,70860,1
862,70861,0
863,70862,0
864,70863,1
865,70864,1
866,70865,0
867,70866,0
868,70867,1
869,70868,0
870,70869,0
871,70870,1
872,70871,0
873,70872,0
874,70873,0
875,70874,0
876,70875,1
877,70876,1
878,70877,1
879,70878,1
880,70879,0
881,70880,0
882,70881,1
883,70882,1
884,70883,0
885,70884,0
886,70885,0
887,70886,0
888,70887,0
889,70888,0
890,70889,1
891,70890,0
892,70891,0
893,70892,1
894,70893,1
895,70894,0
896,70895,1
897,70896,0
898,70897,0
899,70898,0
900,70899,1
901,70900,0
902,70901,0
903,70902,1
904,70903,0
905,70904,1
906,70905,1
907,70906,1
908,70907,1
909,70908,1
910,70909,1
911,70910,1
912,70911,1
913,70912,0
914,70913,1
915,70914,1
916,70915,0
917,70916,1
918,70917,1
919,70918,1
920,70919,0
921,70920,0
922,70921,0
923,70922,1
924,70923,0
925,70924,1
926,70925,0
927,70926,1
928,70927,1
929,70928,0
930,70929,0
931,70930,1
932,70931,0
933,70932,1
934,70933,0
935,70934,0
936,70935,0
937,70936,0
938,70937,0
939,70938,1
940,70939,0
941,70940,1
942,70941,0
943,70942,0
944,70943,1
945,70944,0
946,70945,0
947,70946,1
948,70947,1
949,70948,0
950,70949,1
951,70950,0
952,70951,1
953,70952,1
954,70953,0
955,70954,0
956,70955,1
957,70956,1
958,70957,0
959,70958,1
960,70959,1
961,70960,0
962,70961,1
963,70962,0
964,70963,0
965,70964,0
966,70965,0
967,70966,1
968,70967,1
969,70968,0
970,70969,0
971,70970,0
972,70971,1
973,70972,0
974,70973,1
975,70974,0
976,70975,1
977,70976,1
978,70977,0
979,70978,1
980,70979,1
981,70980,1
982,70981,1
983,70982,1
984,70983,0
985,70984,1
986,70985,0
987,70986,1
988,70987,0
989,70988,0
990,70989,1
991,70990,0
992,70991,0
993,70992,1
994,70993,1
995,70994,1
996,70995,0
997,70996,0
998,70997,0
999,70998,0
1000,70999,0
1001,71000,0
1002,71001,0
1003,71002,1
1004,71003,0
1005,71004,0
1006,71005,0
1007,71006,1
1008,71007,1
1009,71008,1
1010,71009,0
1011,71010,0
1012,71011,1
1013,71012,0
1014,71013,0
1015,71014,0
1016,71015,1
1017,71016,0
1018,71017,0
1019,71018,0
1020,71019,1
1021,71020,1
1022,71021,0
1023,71022,0
1024,71023,0
1025,71024,0
1026,71025,1
1027,71026,0
1028,71027,0
1029,71028,1
1030,71029,0
1031,71030,1
1032,71031,0
1033,71032,0
1034,71033,0
1035,71034,1
1036,71035,1
1037,71036,0
1038,71037,0
1039,71038,1
1040,71039,0
1041,71040,0
1042,71041,0
1043,71042,1
1044,71043,1
1045,71044,0
1046,71045,0
1047,71046,1
1048,71047,0
1049,71048,0
1050,71049,1
1051,71050,0
1052,71051,0
1053,71052,0
1054,71053,0
1055,71054,0
1056,71055,0
1057,71056,0
1058,71057,0
1059,71058,0
1060,71059,0
1061,71060,1
1062,71061,0
1063,71062,0
1064,71063,0
1065,71064,0
1066,71065,1
1067,71066,1
1068,71067,0
1069,71068,0
1070,71069,1
1071,71070,1
1072,71071,0
1073,71072,1
1074,71073,1
1075,71074,1
1076,71075,0
1077,71076,0
1078,71077,1
1079,71078,0
1080,71079,0
1081,71080,0
1082,71081,1
1083,71082,0
1084,71083,1
1085,71084,0
1086,71085,0
1087,71086,0
1088,71087,1
1089,71088,0
1090,71089,0
1091,71090,0
1092,71091,1
1093,71092,0
1094,71093,1
1095,71094,0
1096,71095,1
1097,71096,0
1098,71097,0
1099,71098,1
1100,71099,0
1101,71100,0
1102,71101,1
1103,71102,0
1104,71103,0
1105,71104,1
1106,71105,0
1107,71106,0
1108,71107,0
1109,71108,1
1110,71109,1
1111,71110,0
1112,71111,0
1113,71112,1
1114,71113,0
1115,71114,0
1116,71115,0
1117,71116,0
1118,71117,0
1119,71118,1
1120,71119,1
1121,71120,0
1122,71121,0
1123,71122,0
1124,71123,0
1125,71124,1
1126,71125,0
1127,71126,1
1128,71127,0
1129,71128,0
1130,71129,1
1131,71130,0
1132,71131,1
1133,71132,0
1134,71133,0
1135,71134,0
1136,71135,0
1137,71136,1
1138,71137,0
1139,71138,1
1140,71139,1
1141,71140,1
1142,71141,1
1143,71142,1
1144,71143,1
1145,71144,0
1146,71145,0
1147,71146,1
1148,71147,0
1149,71148,0
1150,71149,0
1151,71150,1
1152,71151,1
1153,71152,0
1154,71153,1
1155,71154,1
1156,71155,0
1157,71156,1
1158,71157,1
1159,71158,0
1160,71159,0
1161,71160,0
1162,71161,1
1163,71162,0
1164,71163,0
1165,71164,0
1166,71165,0
1167,71166,0
1168,71167,0
1169,71168,1
1170,71169,0
1171,71170,1
1172,71171,1
1173,71172,1
1174,71173,1
1175,71174,0
1176,71175,0
1177,71176,0
1178,71177,1
1179,71178,0
1180,71179,0
1181,71180,0
1182,71181,0
1183,71182,0
1184,71183,1
1185,71184,0
1186,71185,1
1187,71186,0
1188,71187,1
1189,71188,1
1190,71189,1
1191,71190,1
1192,71191,1
1193,71192,0
1194,71193,1
1195,71194,1
1196,71195,1
1197,71196,0
1198,71197,1
1199,71198,1
1200,71199,1
1201,71200,0
1202,71201,1
1203,71202,1
1204,71203,0
1205,71204,0
1206,71205,1
1207,71206,0
1208,71207,0
1209,71208,1
1210,71209,0
1211,71210,1
1212,71211,0
1213,71212,0
1214,71213,1
1215,71214,1
1216,71215,0
1217,71216,0
1218,71217,0
1219,71218,1
1220,71219,1
1221,71220,1
1222,71221,0
1223,71222,0
1224,71223,0
1225,71224,1
1226,71225,1
1227,71226,1
1228,71227,0
1229,71228,0
1230,71229,0
1231,71230,0
1232,71231,0
1233,71232,0
1234,71233,1
1235,71234,1
1236,71235,1
1237,71236,0
1238,71237,0
1239,71238,0
1240,71239,0
1241,71240,1
1242,71241,1
1243,71242,0
1244,71243,1
1245,71244,0
1246,71245,0
1247,71246,0
1248,71247,0
1249,71248,1
1250,71249,0
1251,71250,1
1252,71251,0
1253,71252,1
1254,71253,0
1255,71254,1
1256,71255,0
1257,71256,1
1258,71257,1
1259,71258,0
1260,71259,0
1261,71260,1
1262,71261,1
1263,71262,0
1264,71263,0
1265,71264,0
1266,71265,0
1267,71266,0
1268,71267,1
1269,71268,0
1270,71269,0
1271,71270,0
1272,71271,1
1273,71272,0
1274,71273,0
1275,71274,0
1276,71275,0
1277,71276,1
1278,71277,0
1279,71278,0
1280,71279,0
1281,71280,1
1282,71281,1
1283,71282,1
1284,71283,0
1285,71284,0
1286,71285,1
1287,71286,1
1288,71287,1
1289,71288,0
1290,71289,0
1291,71290,0
1292,71291,0
1293,71292,0
1294,71293,1
1295,71294,0
1296,71295,0
1297,71296,1
1298,71297,0
1299,71298,0
1300,71299,0
1301,71300,1
1302,71301,0
1303,71302,1
1304,71303,1
1305,71304,0
1306,71305,0
1307,71306,0
1308,71307,0
1309,71308,1
1310,71309,0
1311,71310,1
1312,71311,0
1313,71312,1
1314,71313,0
1315,71314,0
1316,71315,1
1317,71316,0
1318,71317,1
1319,71318,0
1320,71319,1
1321,71320,0
1322,71321,1
1323,71322,0
1324,71323,0
1325,71324,0
1326,71325,0
1327,71326,0
1328,71327,0
1329,71328,0
1330,71329,1
1331,71330,1
1332,71331,1
1333,71332,0
1334,71333,0
1335,71334,1
1336,71335,0
1337,71336,0
1338,71337,0
1339,71338,1
1340,71339,1
1341,71340,0
1342,71341,1
1343,71342,1
1344,71343,0
1345,71344,0
1346,71345,1
1347,71346,1
1348,71347,1
1349,71348,1
1350,71349,1
1351,71350,0
1352,71351,0
1353,71352,0
1354,71353,0
1355,71354,0
1356,71355,1
1357,71356,0
1358,71357,1
1359,71358,0
1360,71359,0
1361,71360,0
1362,71361,0
1363,71362,1
1364,71363,1
1365,71364,0
1366,71365,0
1367,71366,1
1368,71367,0
1369,71368,1
1370,71369,0
1371,71370,0
1372,71371,0
1373,71372,1
1374,71373,0
1375,71374,1
1376,71375,0
1377,71376,0
1378,71377,0
1379,71378,0
1380,71379,1
1381,71380,1
1382,71381,0
1383,71382,1
1384,71383,0
1385,71384,1
1386,71385,0
1387,71386,0
1388,71387,0
1389,71388,0
1390,71389,0
1391,71390,0
1392,71391,0
1393,71392,0
1394,71393,0
1395,71394,0
1396,71395,0
1397,71396,1
1398,71397,1
1399,71398,1
1400,71399,0
1401,71400,1
1402,71401,0
1403,71402,0
1404,71403,0
1405,71404,1
1406,71405,0
1407,71406,1
1408,71407,0
1409,71408,0
1410,71409,1
1411,71410,0
1412,71411,0
1413,71412,1
1414,71413,0
1415,71414,1
1416,71415,0
1417,71416,0
1418,71417,0
1419,71418,0
1420,71419,0
1421,71420,0
1422,71421,0
1423,71422,0
1424,71423,0
1425,71424,0
1426,71425,0
1427,71426,0
1428,71427,0
1429,71428,1
1430,71429,0
1431,71430,0
1432,71431,0
1433,71432,1
1434,71433,0
1435,71434,0
1436,71435,1
1437,71436,0
1438,71437,1
1439,71438,0
1440,71439,1
1441,71440,0
1442,71441,1
1443,71442,0
1444,71443,0
1445,71444,1
1446,71445,0
1447,71446,1
1448,71447,0
1449,71448,1
1450,71449,1
1451,71450,0
1452,71451,0
1453,71452,1
1454,71453,1
1455,71454,1
1456,71455,1
1457,71456,0
1458,71457,0
1459,71458,1
1460,71459,0
1461,71460,0
1462,71461,0
1463,71462,1
1464,71463,1
1465,71464,1
1466,71465,1
1467,71466,1
1468,71467,0
1469,71468,0
1470,71469,1
1471,71470,0
1472,71471,0
1473,71472,0
1474,71473,1
1475,71474,0
1476,71475,1
1477,71476,1
1478,71477,0
1479,71478,0
1480,71479,0
1481,71480,0
1482,71481,1
1483,71482,0
1484,71483,0
1485,71484,0
1486,71485,1
1487,71486,0
1488,71487,0
1489,71488,0
1490,71489,1
1491,71490,0
1492,71491,1
1493,71492,0
1494,71493,1
1495,71494,0
1496,71495,0
1497,71496,0
1498,71497,1
1499,71498,0
1500,71499,0
1501,71500,1
1502,71501,0
1503,71502,1
1504,71503,1
1505,71504,1
1506,71505,0
1507,71506,1
1508,71507,0
1509,71508,1
1510,71509,1
1511,71510,0
1512,71511,0
1513,71512,0
1514,71513,0
1515,71514,0
1516,71515,0
1517,71516,0
1518,71517,1
1519,71518,0
1520,71519,0
1521,71520,0
1522,71521,1
1523,71522,1
1524,71523,0
1525,71524,0
1526,71525,0
1527,71526,0
1528,71527,1
1529,71528,0
1530,71529,0
1531,71530,0
1532,71531,0
1533,71532,0
1534,71533,0
1535,71534,0
1536,71535,0
1537,71536,1
1538,71537,1
1539,71538,1
1540,71539,0
1541,71540,0
1542,71541,1
1543,71542,0
1544,71543,1
1545,71544,0
1546,71545,0
1547,71546,0
1548,71547,0
1549,71548,0
1550,71549,1
1551,71550,1
1552,71551,1
1553,71552,0
1554,71553,0
1555,71554,0
1556,71555,0
1557,71556,0
1558,71557,1
1559,71558,0
1560,71559,0
1561,71560,1
1562,71561,0
1563,71562,0
1564,71563,0
1565,71564,1
1566,71565,1
1567,71566,0
1568,71567,0
1569,71568,0
1570,71569,0
1571,71570,0
1572,71571,1
1573,71572,1
1574,71573,1
1575,71574,0
1576,71575,0
1577,71576,1
1578,71577,1
1579,71578,1
1580,71579,0
1581,71580,0
1582,71581,0
1583,71582,1
1584,71583,1
1585,71584,0
1586,71585,0
1587,71586,0
1588,71587,1
1589,71588,1
1590,71589,0
1591,71590,1
1592,71591,0
1593,71592,1
1594,71593,1
1595,71594,1
1596,71595,1
1597,71596,0
1598,71597,0
1599,71598,1
1600,71599,1
1601,71600,1
1602,71601,0
1603,71602,0
1604,71603,1
1605,71604,0
1606,71605,0
1607,71606,1
1608,71607,0
1609,71608,0
1610,71609,0
1611,71610,0
1612,71611,1
1613,71612,0
1614,71613,1
1615,71614,0
1616,71615,0
1617,71616,1
1618,71617,0
1619,71618,0
1620,71619,0
1621,71620,0
1622,71621,0
1623,71622,0
1624,71623,0
1625,71624,0
1626,71625,0
1627,71626,0
1628,71627,0
1629,71628,1
1630,71629,0
1631,71630,0
1632,71631,1
1633,71632,1
1634,71633,0
1635,71634,0
1636,71635,0
1637,71636,1
1638,71637,0
1639,71638,1
1640,71639,0
1641,71640,0
1642,71641,1
1643,71642,1
1644,71643,1
1645,71644,0
1646,71645,0
1647,71646,0
1648,71647,0
1649,71648,0
1650,71649,0
1651,71650,1
1652,71651,0
1653,71652,1
1654,71653,0
1655,71654,0
1656,71655,1
1657,71656,0
1658,71657,1
1659,71658,1
1660,71659,0
1661,71660,0
1662,71661,0
1663,71662,1
1664,71663,1
1665,71664,0
1666,71665,0
1667,71666,0
1668,71667,0
1669,71668,1
1670,71669,0
1671,71670,0
1672,71671,0
1673,71672,1
1674,71673,0
1675,71674,1
1676,71675,0
1677,71676,0
1678,71677,0
1679,71678,0
1680,71679,0
1681,71680,0
1682,71681,0
1683,71682,1
1684,71683,0
1685,71684,0
1686,71685,0
1687,71686,1
1688,71687,0
1689,71688,0
1690,71689,0
1691,71690,0
1692,71691,0
1693,71692,0
1694,71693,0
1695,71694,1
1696,71695,0
1697,71696,0
1698,71697,0
1699,71698,0
1700,71699,0
1701,71700,1
1702,71701,0
1703,71702,0
1704,71703,1
1705,71704,0
1706,71705,0
1707,71706,1
1708,71707,1
1709,71708,1
1710,71709,0
1711,71710,1
1712,71711,0
1713,71712,0
1714,71713,0
1715,71714,0
1716,71715,1
1717,71716,1
1718,71717,0
1719,71718,0
1720,71719,0
1721,71720,1
1722,71721,1
1723,71722,0
1724,71723,0
1725,71724,1
1726,71725,1
1727,71726,0
1728,71727,1
1729,71728,0
1730,71729,1
1731,71730,0
1732,71731,0
1733,71732,0
1734,71733,0
1735,71734,1
1736,71735,0
1737,71736,1
1738,71737,0
1739,71738,0
1740,71739,1
1741,71740,0
1742,71741,1
1743,71742,1
1744,71743,0
1745,71744,1
1746,71745,0
1747,71746,0
1748,71747,1
1749,71748,0
1750,71749,1
1751,71750,0
1752,71751,1
1753,71752,0
1754,71753,1
1755,71754,1
1756,71755,0
1757,71756,1
1758,71757,0
1759,71758,0
1760,71759,0
1761,71760,1
1762,71761,1
1763,71762,1
1764,71763,0
1765,71764,1
1766,71765,1
1767,71766,1
1768,71767,0
1769,71768,0
1770,71769,0
1771,71770,0
1772,71771,0
1773,71772,0
1774,71773,0
1775,71774,1
1776,71775,1
1777,71776,0
1778,71777,0
1779,71778,0
1780,71779,0
1781,71780,0
1782,71781,0
1783,71782,1
1784,71783,0
1785,71784,1
1786,71785,0
1787,71786,0
1788,71787,1
1789,71788,0
1790,71789,1
1791,71790,0
1792,71791,0
1793,71792,1
1794,71793,0
1795,71794,0
1796,71795,1
1797,71796,0
1798,71797,0
1799,71798,0
1800,71799,0
1801,71800,0
1802,71801,0
1803,71802,0
1804,71803,0
1805,71804,0
1806,71805,0
1807,71806,0
1808,71807,0
1809,71808,1
1810,71809,0
1811,71810,1
1812,71811,0
1813,71812,1
1814,71813,0
1815,71814,1
1816,71815,0
1817,71816,0
1818,71817,1
1819,71818,1
1820,71819,1
1821,71820,0
1822,71821,1
1823,71822,0
1824,71823,0
1825,71824,1
1826,71825,0
1827,71826,0
1828,71827,1
1829,71828,1
1830,71829,0
1831,71830,0
1832,71831,0
1833,71832,0
1834,71833,0
1835,71834,0
1836,71835,1
1837,71836,1
1838,71837,0
1839,71838,0
1840,71839,1
1841,71840,1
1842,71841,0
1843,71842,0
1844,71843,0
1845,71844,0
1846,71845,0
1847,71846,1
1848,71847,0
1849,71848,0
1850,71849,0
1851,71850,1
1852,71851,0
1853,71852,1
1854,71853,0
1855,71854,1
1856,71855,0
1857,71856,1
1858,71857,1
1859,71858,1
1860,71859,0
1861,71860,0
1862,71861,0
1863,71862,0
1864,71863,1
1865,71864,1
1866,71865,1
1867,71866,0
1868,71867,0
1869,71868,0
1870,71869,1
1871,71870,0
