?,Data Tyoe,,,,,,
arpu_2g_6,F,,,,,,
arpu_2g_7,F,,,,,,
arpu_2g_8,F,,,,,,
night_pck_user_6,C,,,,,,
night_pck_user_7,C,,,,,,
night_pck_user_8,C,,,,,,
monthly_2g_6,I,0,,,,,
monthly_2g_7,I,0,,,,,
monthly_2g_8,I,0,,,,,
sachet_2g_6,I,0,,,,,
sachet_2g_7,I,0,,,,,
sachet_2g_8,I,0,,,,,
monthly_3g_6,I,0,,,,,
monthly_3g_7,I,0,,,,,
monthly_3g_8,I,0,,,,,
sachet_3g_6,I,0,,,,,
sachet_3g_7,I,0,,,,,
sachet_3g_8,I,0,,,,,
fb_user_6,C,,,,,,
fb_user_7,C,,,,,,
fb_user_8,C,,,,,,
aon,I,982,,,,,
aug_vbc_3g,F,0,,,,,
jul_vbc_3g,F,0,,,,,
jun_vbc_3g,F,0,,,,,
churn_probability,C,0,,,,,
